id,streetAddress,city,state,zipcode,latitude,longitude,price,bathrooms,bedrooms,squareFeet,isRenting,frequency
1,84 6th Ave,Troy,NY,12180,42.755258,-73.679584,1445,2,3,1500,True,month
2,3 Plum Ave,Troy,NY,12180,42.704893,-73.658328,895,1,2,800,True,month
3,110 Colleen Rd #29ZNDKPTJ,Troy,NY,12180,42.70207,-73.673936,900,1,1,,True,month
4,200 Broadway #301,Troy,NY,12180,42.731613,-73.691116,1630,1,1,688,True,month
5,190 10th St #2,Troy,NY,12180,42.73542,-73.680555,1600,1,2,1000,True,month
6,145 George St #1,Troy,NY,12183,42.745407,-73.691035,875,1,2,,True,month
7,154 3rd St FLOOR 2,Troy,NY,12180,42.726527,-73.691127,1800,1,3,1250,True,month
8,224 6th Ave #1,Troy,NY,12180,42.760363,-73.678147,995,1,1,950,True,month
9,198 Pawling Ave #PNQNHPNRQ,Troy,NY,12180,42.715737,-73.669563,1150,1,2,900,True,month
10,17 Myrtle Ave,Troy,NY,12180,42.711206,-73.667411,3800,3,4,2600,True,month
11,136 Oakwood Ave #2,Troy,NY,12180,42.746675,-73.674474,1250,1,2,1500,True,month
12,85 7th Ave #1,Troy,NY,12180,42.755329,-73.679044,1200,1,3,1100,True,month
13,2 114th St #2,Troy,NY,12182,42.77344,-73.678786,1000,1,1,,True,month
14,7 Blakley Ct #2,Troy,NY,12180,42.707267,-73.662713,1375,1,3,1500,True,month
15,226 6th Ave,Troy,NY,12180,42.760446,-73.678113,1600,1.5,3,2000,True,month
16,2328 16th St FLOOR 2,Troy,NY,12180,42.737353,-73.674059,1150,1.5,3,1250,True,month
17,4 Spence St,Troy,NY,12180,42.702778,-73.656957,1795,2,4,1493,True,month
18,318 1st St #2,Troy,NY,12180,42.718335,-73.695303,1195,1,3,4128,True,month
19,196 1st St #3,Troy,NY,12180,42.72339,-73.694347,850,1,1,600,True,month
20,4 Plum Ave,Troy,NY,12180,42.704518,-73.65811,1600,1,3,1009,True,month
21,126 2nd St,Troy,NY,12180,42.72687,-73.69217,1225,1,2,800,True,month
22,1105 Hutton St #1,Troy,NY,12180,42.737073,-73.67888,1500,1,3,,True,month
23,87 4th St #3,Troy,NY,12180,42.730441,-73.689361,950,1,1,,True,month
24,1869 Highland Ave #2,Troy,NY,12180,42.72422,-73.670804,3100,2,5,,True,month
25,576 3rd Ave,Troy,NY,12182,42.774743,-73.675912,835,1,1,,True,month
26,450 Taylor Ct #2,Troy,NY,12180,42.740465,-73.659911,1425,1,3,1500,True,month
27,2539 6th Ave,Troy,NY,12180,42.741309,-73.683199,1575,1,4,1150,True,month
28,50 2nd St #2,Troy,NY,12180,42.729766,-73.691524,1500,1,1,5028,True,month
29,285 5th Ave #2,Troy,NY,12182,42.763202,-73.678917,995,1,3,1100,True,month
30,38 State St #3,Troy,NY,12180,42.729667,-73.68863,900,1,1,,True,month
31,523 4th St,Troy,NY,12180,42.71364,-73.694593,1300,1,3,1716,True,month
32,20 Vandenburgh Ave,Troy,NY,12180,42.702937,-73.68799,1600,1,3,1700,True,month
33,5 Cypress St #3,Troy,NY,12180,42.722962,-73.680823,1300,2,5,,True,month
34,211 Stowe Ave #2,Troy,NY,12180,42.698375,-73.697632,1200,1,2,,True,month
35,109 Orchard Ave #1,Troy,NY,12180,42.723016,-73.66747,1275,1,3,1000,True,month
36,220 3rd St,Troy,NY,12180,42.723687,-73.691561,1100,1,1,5023,True,month
37,177 2nd St APT 2R,Troy,NY,12180,42.724847,-73.693157,1075,1,1,1200,True,month
38,182 River St,Troy,NY,12180,42.729927,-73.693941,1500,1,3,1200,True,month
39,3 115th St #9,Troy,NY,12182,42.775052,-73.677995,600,1,1,600,True,month
40,294 4th St #3,Troy,NY,12180,42.722109,-73.690857,0,1,2,800,False,month
41,328 1st St #1,Troy,NY,12180,42.717998,-73.695377,695,1,1,1000,True,month
42,75 4th St #4,Troy,NY,12180,42.73087,-73.689263,1500,1.5,3,1400,True,month
43,502 Broadway #B,Troy,NY,12180,42.731003,-73.687757,1400,1,2,1069,True,month
44,108 4th St #2,Troy,NY,12180,42.7294,-73.689056,1195,1,3,1400,True,month
45,64 Oakwood Ave #B,Troy,NY,12180,42.743102,-73.677864,875,1,2,900,True,month
46,189 2nd St,Troy,NY,12180,42.724327,-73.69343,1500,1,1,9576,True,month
47,331 4th St #1,Troy,NY,12180,42.724437,-73.680145,2000,1,4,1000,True,month
48,2 Stow Ave #2,Troy,NY,12180,42.702169,-73.696425,925,1,2,800,True,month
49,14 108th St #2,Troy,NY,12182,42.765466,-73.679344,975,1,3,1000,True,month
50,25 Starbuck Dr #310,Troy,NY,12183,42.734921,-73.693216,2000,2,2,1320,True,month
51,187 Paine St #2,Troy,NY,12183,42.746954,-73.6918,900,1,1,70,True,month
52,427 8th Ave,Troy,NY,12182,42.767691,-73.672989,1600,2,3,1400,True,month
53,435 10th St #1,Troy,NY,12180,42.743929,-73.678725,1300,1,3,,True,month
54,1939 5th Ave #2,Troy,NY,12180,42.733213,-73.687594,1000,1,1,,True,month
55,194 4th St FLOOR 3,Troy,NY,12180,42.726113,-73.689786,1300,1,3,1400,True,month
56,39 1st St,Troy,NY,12180,42.729545,-73.693572,3500,2,4,3600,True,month
57,3 St Pauls Pl #1,Troy,NY,12180,42.729713,-73.689029,850,1,1,,True,month
58,1821 5th Ave APT 6,Troy,NY,12180,42.731565,-73.688008,750,1,0,500,True,month
59,2168 14th St #1,Troy,NY,12180,42.733799,-73.677043,1200,1,2,800,True,month
60,84 King St APT 5,Troy,NY,12180,42.73609,-73.686221,1200,1,2,,True,month
61,120 3rd St APT 3,Troy,NY,12180,42.727845,-73.690847,1000,1,2,1000,True,month
62,1649 5th Ave #BASEMENT,Troy,NY,12180,42.729657,-73.688246,1399,1,2,,True,month
63,241 2nd St #F-1,Troy,NY,12180,42.72233,-73.693872,1200,1,2,1100,True,month
64,65 3rd St APT 204,Troy,NY,12180,42.729899,-73.690771,2450,2,2,1361,True,month
65,270 8th St FLOOR 2,Troy,NY,12180,42.737249,-73.68202,1800,1,3,1600,True,month
66,171 9th St #1,Troy,NY,12180,42.737638,-73.681409,1650,1.5,3,,True,month
67,1100 River View Dr,Green Island,NY,12183,42.738359,-73.690146,1525,2,2,1547,True,month
